cluster,hostID,isoID,species
clust_1,unknown?,Ck-001,Chicken
clust_1,,Ck-035,Chicken
clust_1,,Ck-036,Chicken
clust_1,11049,Cw-099,Cow
clust_1,12032,Cw-1066,Cow
clust_1,11040,Cw-108,Cow
clust_1,12222,Cw-1147,Cow
clust_1,12222,Cw-1148,Cow
clust_1,11013,Cw-117,Cow
clust_1,12014,Cw-1173,Cow
clust_1,11013,Cw-118,Cow
clust_1,12007,Cw-1182,Cow
clust_1,11038,Cw-119,Cow
clust_1,12027,Cw-1200,Cow
clust_1,12008,Cw-1203,Cow
clust_1,12012,Cw-1206,Cow
clust_1,12031,Cw-1208,Cow
clust_1,12026,Cw-1210,Cow
clust_1,12079,Cw-1219,Cow
clust_1,12055,Cw-1230,Cow
clust_1,12057,Cw-1233,Cow
clust_1,12081,Cw-1243,Cow
clust_1,12077,Cw-1270,Cow
clust_1,12063,Cw-1281,Cow
clust_1,12129,Cw-1288,Cow
clust_1,12116,Cw-1289,Cow
clust_1,12136,Cw-1292,Cow
clust_1,12126,Cw-1295,Cow
clust_1,12126,Cw-1296,Cow
clust_1,12121,Cw-1323,Cow
clust_1,12125,Cw-1332,Cow
clust_1,12109,Cw-1343,Cow
clust_1,12118,Cw-1347,Cow
clust_1,12192,Cw-1367,Cow
clust_1,12179,Cw-1370,Cow
clust_1,12172,Cw-1374,Cow
clust_1,12173,Cw-1380,Cow
clust_1,12169,Cw-1388,Cow
clust_1,12190,Cw-1402,Cow
clust_1,12164,Cw-1411,Cow
clust_1,12177,Cw-1415,Cow
clust_1,12177,Cw-1416,Cow
clust_1,12219,Cw-1418,Cow
clust_1,11077,Cw-143,Cow
clust_1,12233,Cw-1431,Cow
clust_1,11077,Cw-144,Cow
clust_1,12234,Cw-1441,Cow
clust_1,12228,Cw-1448,Cow
clust_1,12230,Cw-1460,Cow
clust_1,12255,Cw-1477,Cow
clust_1,12255,Cw-1478,Cow
clust_1,12262,Cw-1507,Cow
clust_1,12262,Cw-1508,Cow
clust_1,12253,Cw-1519,Cow
clust_1,12253,Cw-1520,Cow
clust_1,11089,Cw-154,Cow
clust_1,12112,Cw-1541,Cow
clust_1,13468,Cw-1599,Cow
clust_1,13468,Cw-1609,Cow
clust_1,11070,Cw-172,Cow
clust_1,13468,Cw-1735,Cow
clust_1,11058,Cw-174,Cow
clust_1,11063,Cw-178,Cow
clust_1,13392,Cw-1839,Cow
clust_1,11228,Cw-215,Cow
clust_1,11228,Cw-216,Cow
clust_1,11216,Cw-241,Cow
clust_1,11224,Cw-242,Cow
clust_1,11145,Cw-299,Cow
clust_1,11295,Cw-324,Cow
clust_1,11254,Cw-338,Cow
clust_1,11259,Cw-361,Cow
clust_1,11259,Cw-362,Cow
clust_1,11277,Cw-370,Cow
clust_1,11108,Cw-389,Cow
clust_1,11108,Cw-390,Cow
clust_1,11218,Cw-396,Cow
clust_1,11051,Cw-431,Cow
clust_1,11036,Cw-457,Cow
clust_1,11019,Cw-464,Cow
clust_1,11040,Cw-472,Cow
clust_1,11045,Cw-473,Cow
clust_1,11045,Cw-474,Cow
clust_1,11007,Cw-475,Cow
clust_1,11007,Cw-476,Cow
clust_1,11032,Cw-477,Cow
clust_1,11032,Cw-478,Cow
clust_1,11004,Cw-479,Cow
clust_1,11047,Cw-482,Cow
clust_1,11046,Cw-483,Cow
clust_1,11030,Cw-488,Cow
clust_1,11031,Cw-491,Cow
clust_1,11031,Cw-492,Cow
clust_1,11037,Cw-494,Cow
clust_1,11020,Cw-500,Cow
clust_1,11038,Cw-501,Cow
clust_1,11022,Cw-510,Cow
clust_1,11014,Cw-518,Cow
clust_1,11010,Cw-521,Cow
clust_1,11060,Cw-523,Cow
clust_1,11060,Cw-524,Cow
clust_1,11056,Cw-527,Cow
clust_1,11088,Cw-530,Cow
clust_1,11052,Cw-531,Cow
clust_1,11052,Cw-532,Cow
clust_1,11080,Cw-546,Cow
clust_1,11053,Cw-550,Cow
clust_1,11067,Cw-551,Cow
clust_1,11061,Cw-553,Cow
clust_1,11062,Cw-555,Cow
clust_1,11062,Cw-556,Cow
clust_1,11057,Cw-557,Cow
clust_1,11057,Cw-558,Cow
clust_1,11070,Cw-578,Cow
clust_1,11059,Cw-581,Cow
clust_1,11081,Cw-583,Cow
clust_1,11081,Cw-584,Cow
clust_1,11073,Cw-587,Cow
clust_1,11073,Cw-588,Cow
clust_1,11085,Cw-591,Cow
clust_1,11208,Cw-608,Cow
clust_1,11212,Cw-620,Cow
clust_1,11238,Cw-621,Cow
clust_1,11238,Cw-622,Cow
clust_1,11228,Cw-631,Cow
clust_1,11228,Cw-632,Cow
clust_1,11217,Cw-635,Cow
clust_1,11226,Cw-642,Cow
clust_1,11224,Cw-649,Cow
clust_1,11224,Cw-650,Cow
clust_1,11225,Cw-654,Cow
clust_1,11214,Cw-659,Cow
clust_1,11214,Cw-660,Cow
clust_1,11232,Cw-665,Cow
clust_1,11232,Cw-666,Cow
clust_1,11116,Cw-670,Cow
clust_1,11115,Cw-677,Cow
clust_1,11106,Cw-695,Cow
clust_1,11108,Cw-703,Cow
clust_1,11108,Cw-704,Cow
clust_1,11287,Cw-715,Cow
clust_1,11287,Cw-716,Cow
clust_1,11281,Cw-719,Cow
clust_1,11282,Cw-724,Cow
clust_1,11291,Cw-725,Cow
clust_1,11291,Cw-726,Cow
clust_1,11295,Cw-727,Cow
clust_1,11318,Cw-732,Cow
clust_1,11279,Cw-742,Cow
clust_1,11254,Cw-743,Cow
clust_1,11254,Cw-744,Cow
clust_1,11278,Cw-747,Cow
clust_1,11290,Cw-752,Cow
clust_1,11297,Cw-753,Cow
clust_1,11297,Cw-754,Cow
clust_1,11258,Cw-755,Cow
clust_1,11258,Cw-756,Cow
clust_1,11294,Cw-757,Cow
clust_1,11280,Cw-763,Cow
clust_1,11280,Cw-764,Cow
clust_1,11204,Cw-782,Cow
clust_1,11041,Cw-785,Cow
clust_1,12162,Cw-826,Cow
clust_1,12251,Cw-922,Cow
clust_1,12264,Cw-945,Cow
clust_1,12269,Cw-954,Cow
clust_1,12062,Cw-971,Cow
clust_1,12062,Cw-972,Cow
clust_1,12065,Cw-977,Cow
clust_1,WL-5,Dg-030,Coyote
clust_1,Trix,Dg-131,Dog
clust_1,Trix,Dg-132,Dog
clust_1,30,Ho-059,Horse
clust_1,17,Hu-045,Human
clust_1,18,Hu-046,Human
clust_1,Subject J,Hu-2039,Human
clust_1,Subject J,Hu-2040,Human
clust_1,Subject J,Hu-2053,Human
clust_1,Subject J,Hu-2061,Human
clust_1,Subject J,Hu-2077,Human
clust_1,Subject J,Hu-2083,Human
